Driver,fp2_avg_lap,fp2_best_lap,fp2_total_laps,FastestQualiLap,QualiPosition,RacePosition,DNF,grand_prix
HUL,82.53513636363637,72.262,22,71.596,14,16,False,Monaco
LAW,83.21363636363637,71.823,22,71.129,10,8,False,Monaco
LEC,80.01742857142857,71.355,21,70.063,2,2,False,Monaco
NOR,82.31645454545455,71.677,22,69.954,1,1,False,Monaco
OCO,86.70360000000001,72.541,25,70.942,9,7,False,Monaco
PIA,86.87349999999999,71.393,18,70.129,3,3,False,Monaco
RUS,83.35804545454545,72.092,22,71.507,13,11,False,Monaco
SAI,85.31557142857143,72.151,21,71.362,11,10,False,Monaco
STR,84.64263157894737,72.512,19,72.563,19,15,False,Monaco
TSU,82.03757142857143,72.072,21,71.415,12,17,False,Monaco
VER,85.19510526315788,72.068,19,70.669,5,4,False,Monaco
ALB,86.89450000000001,73.839,22,72.641,11,21,True,Barcelona
ALO,92.34155,73.301,20,72.284,10,9,False,Barcelona
ANT,83.39042857142857,73.298,21,72.111,6,21,True,Barcelona
BEA,84.77541666666667,74.126,12,73.074,15,17,False,Barcelona
BOR,79.86971428571428,73.959,14,72.756,12,12,False,Barcelona
COL,81.49288235294117,74.303,17,73.334,19,15,False,Barcelona
GAS,82.4840625,73.385,16,72.199,8,8,False,Barcelona
HAD,81.65225,73.4,16,72.252,9,7,False,Barcelona
HAM,81.9353125,73.533,16,72.045,5,6,False,Barcelona
HUL,84.7641111111111,73.592,18,73.19,16,5,False,Barcelona
LAW,82.58933333333333,73.494,18,72.763,13,11,False,Barcelona
LEC,79.25687500000001,73.26,16,72.131,7,3,False,Barcelona
NOR,80.74368421052633,73.07,19,71.755,2,2,False,Barcelona
OCO,85.38647058823528,74.005,17,73.201,17,16,False,Barcelona
PIA,82.11422222222222,72.76,18,71.546,1,1,False,Barcelona
RUS,83.01304545454546,73.046,22,71.848,3,4,False,Barcelona
SAI,86.27129166666667,73.721,24,73.203,18,14,False,Barcelona
TSU,83.32490476190476,73.683,21,73.385,20,13,False,Barcelona
VER,82.535,73.07,20,71.848,3,10,False,Barcelona
ALB,86.22374074074075,72.445,27,71.892,10,21,True,Canada
ALO,90.62165217391303,72.458,23,71.586,6,7,False,Canada
ANT,83.96588,72.411,25,71.391,4,3,False,Canada
BEA,86.14167857142857,73.08,28,72.306,14,11,False,Canada
BOR,86.20825,72.896,24,72.385,16,14,False,Canada
COL,89.21366666666667,73.898,27,72.142,12,13,False,Canada
GAS,86.85853846153847,72.874,26,72.667,20,15,False,Canada
HAD,86.10835,72.799,20,71.867,9,16,False,Canada
HAM,84.7122,72.653,25,71.526,5,6,False,Canada
HUL,86.19763999999999,72.914,25,72.183,13,8,False,Canada
LAW,83.8970909090909,72.751,22,72.525,19,21,True,Canada
NOR,87.33139130434783,72.151,23,71.599,7,21,True,Canada
OCO,85.76128,73.175,25,72.378,15,9,False,Canada
PIA,88.00654166666668,72.562,24,71.12,3,4,False,Canada
RUS,83.56111999999999,72.123,25,70.899,1,1,False,Canada
SAI,87.0342,72.631,30,72.398,17,10,False,Canada
TSU,86.07884615384616,72.939,26,72.102,11,12,False,Canada
VER,89.38476,72.666,25,71.059,2,2,False,Canada
ALB,79.35696428571428,65.765,28,65.143,13,21,True,Austria
ALO,77.04057142857144,65.457,21,65.128,12,7,False,Austria
ANT,71.77366666666667,65.537,21,65.052,10,21,True,Austria
BEA,75.78745454545455,65.835,22,65.218,14,11,False,Austria
BOR,70.64373333333333,65.411,15,64.846,7,8,False,Austria
COL,70.83372727272727,66.176,22,65.278,15,15,False,Austria
GAS,78.21892857142858,65.613,28,64.846,7,13,False,Austria
HAD,76.60458333333334,65.547,24,65.063,11,12,False,Austria
HAM,82.55695833333333,65.511,24,64.582,4,4,False,Austria
HUL,74.91813043478261,65.918,23,65.606,20,9,False,Austria
LAW,74.54768181818181,65.543,22,64.926,9,6,False,Austria
LEC,81.31604166666666,65.19,24,64.492,2,3,False,Austria
NOR,78.83444,64.58,25,63.971,1,1,False,Austria
OCO,79.99674999999999,65.698,20,65.364,17,10,False,Austria
PIA,78.93652173913043,64.737,23,64.554,3,2,False,Austria
RUS,71.99413636363636,65.229,22,64.763,5,5,False,Austria
SAI,76.12095652173913,65.814,23,65.582,19,21,True,Austria
STR,76.5106,65.022,20,65.329,16,14,False,Austria
TSU,76.5982380952381,65.292,21,65.369,18,16,False,Austria
VER,85.34525,64.898,16,64.836,6,21,True,Austria
ALB,95.70447368421053,86.84,19,85.889,14,8,False,Silverstone
ALO,101.43166666666666,86.876,15,85.593,9,9,False,Silverstone
ANT,91.96382352941177,86.383,17,85.374,7,21,True,Silverstone
BEA,90.96707692307693,87.226,13,85.471,8,11,False,Silverstone
BOR,95.75,86.904,15,86.446,17,21,True,Silverstone
COL,94.76955555555554,87.289,18,87.06,20,21,True,Silverstone
GAS,102.86718181818182,87.174,11,85.711,10,6,False,Silverstone
HAD,97.521,86.524,18,85.864,13,21,True,Silverstone
HAM,99.1526875,86.117,16,85.084,5,4,False,Silverstone
HUL,107.56861904761904,87.165,21,86.574,19,3,False,Silverstone
LAW,98.6558947368421,86.624,19,86.44,16,21,True,Silverstone
LEC,92.76258823529412,86.038,17,85.121,6,14,False,Silverstone
NOR,101.98393333333334,85.816,15,85.01,3,1,False,Silverstone
OCO,92.01538461538462,86.941,13,85.95,15,13,False,Silverstone
PIA,93.45492857142857,86.286,14,84.995,2,2,False,Silverstone
RUS,94.15576470588236,86.523,17,85.029,4,10,False,Silverstone
SAI,97.199375,87.159,16,85.746,11,12,False,Silverstone
STR,95.39884615384615,86.43,13,86.504,18,7,False,Silverstone
TSU,101.66307142857143,86.98,14,85.826,12,21,True,Silverstone
VER,94.23807692307693,86.314,13,84.892,1,5,False,Silverstone
ALB,109.19330769230768,103.261,13,101.201,5,6,False,Belgium
ALO,114.45675,103.12,12,102.385,19,17,False,Belgium
ANT,109.96440000000001,102.979,15,102.139,18,16,True,Belgium
BEA,107.9479,105.077,10,101.617,12,11,False,Belgium
